show_id;type;title;director;cast;country;date_added;release_year;rating;duration;listed_in;description;imdb_rating;imdb_vote
57;Movie;Biggie & Tupac;Nick Broomfield;The Notorious B.I.G., Tupac Shakur, Nick Broomfield, Russell Poole, Donald Hicken, Billy Garland, Chico Del Vec, Voletta Wallace, Mopreme Shakur, Kevin Hackie, Reggie Wright Sr., Frank Alexander, Sonia Flores, Marshall Bigtower, Don Seabold, Mark Hyland, Lil Cease, Gene Deal, Marion Suge Knight, Joe Clair, Sean Diddy Combs, Kidada Jones, Rafael Perez, Dan Quayle, Afeni Shakur, Snoop Dogg, Mike Tyson, Craig J. Williams;United Kingdom;26/01/2019;2002;R;108 min;Documentary, Biography, Crime, Music;British documentarian Nick Broomfield investigates the murders of rappers Tupac Shakur and Biggie Smalls, digging up some surprises in the process.;6,8;4747
58;TV Show;Sonic X;;Gabriella Lewis, Junichi Kanemaru, Sanae Kobayashi, Jason Griffith, Suzanne Goldish, Ry? Hirohashi, Lisa Ortiz, Taeko Kawata, Amy Palant, Rebecca Honig, Bin Shimada, Mike Pollock, Darren Dunstan, Andrew Rannells, Sayaka Aoki, Chikao Ohtsuka, Ken Yamaguchi, Dan Green, Nobutoshi Canna, Jerry Lobozzo, Amy Birnbaum, Kathleen Delaney, Yumiko Kobayashi, Naoki Imamura, Rumi Ochiai, Ted Lewis, Yuka Shioyama, Kujira, Megan Hollingshead, Tomohisa As?, Gregory Abbey, Naomi Shind?, Kerry Williams, Etsuko Kozakura, Michio Nakao, Yukari Hikida, Oliver Wyman, K?ji Yusa, Jennifer C. Johnson, Rachael Lillis, James Carter Cathcart, Souichirou Tanaka, K?ji Haramaki, Matt Hoverman, Noriko Hidaka, J?ji Nakata, Christopher Collet, David Lapkin, Kumiko Izumi, Hiroomi Sugino;Japan;15/04/2021;2003;TV-Y7;2 Seasons;Animation, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi;A mission gone awry transports Sonic the Hedgehog, his friends, Dr. Eggman and the Chaos Emeralds to another dimension: Earth.;6,2;4105
59;Movie;Zoot Suit;Luis Valdez;Daniel Valdez, Edward James Olmos, Charles Aidman, Tyne Daly, John Anderson, Abel Franco, Mike Gomez, Alma Martinez, Francis X. McCarthy, Lupe Ontiveros, Ed Peck, Robert Phalen, Tony Plana, Rose Portillo, Marco Rodrðguez, Kelly Ward, Helena Andreyko, Bob Basso, Darlene Bryan, Bernadette Colognne, Miguel Delgado, Roberta Delgado, Anacani Echeverria, Hammam Shafie, Honey Garcia, James Hogan, Laura Leyva, Sal Lopez, Luis Manuel, Kim Miyori, ‘ngela Moya, Bertha E. Oropeza, Jeff Reynolds, Juan Rðos, Greg Rosatti, Nancy Salis, Candice L. Silva, Geno Silva, Kurtwood Smith, Dennis Stewart, Duke Stroud, Judy Susman, Jon Thomas, Lewis Whitlock, Antoinette Yuskis, Robert Beltran, Alma Beltran, Julio Medina, Diane Rodriguez, Socorro Valdez, Michael Santiago;United States;15/04/2021;1981;R;103 min;Drama, Musical;In this drama based on a 1940s trial, the members of a Mexican American gang are sentenced to San Quentin for a murder they may not have committed.;6,8;1172
60;Movie;Like Water for Chocolate;Alfonso Arau;Marco Leonardi, Lumi Cavazos, Regina Torn?, Mario Iv˜n Martðnez, Ada Carrasco, Yareli Arizmendi, Claudette Maill?, Pilar Aranda, Farnesio de Bernal, Joaquðn Garrido, Rodolfo Arias, Margarita Isabel, Sandra Arau, Andr?s Garcða Jr., Regino Herrera, Genaro Aguirre, David Ostrosky, Brðgida Alexander, Amado Ramðrez, Arcelia Ramðrez, Socorro Rodrðguez, Rafael Garcða Zuazua, Rafael Garcða Zuazua Jr., Edurne Ballesteros, Melisa Mares, Gabriela Canudas, Natalia De la Fuente, Beatriz Elðas, Rodolfo Mejða, Ricardo M. Kaplan, Jaime R. Rodrðguez, Osvaldo Martðnez, Javier Mares, Miguel Mares, Jorge Vizales, Orquesta De R. Lombra, Artemio Cruz, Simon, Chester, Melisa Nickliff, Mary Beth Awyer, David McKinney, Ryan Manti, Bo Hatch, Alfredo P. De Tejada, Gabriela P. De Tejada, Stacey Ashabranner, Teresa Ross, Susana Garcia C., Billy Jagnes, K. Wickliff, Fune Kohlman, Hayde J. Rodriguez, Maria H. Pineda, Estela Lopez R., Lorena Villarreal, Indira S˜nchez, Sonia Ruiz, Maria R. Flores, Lizet Martinez, Victor M. Gomez, Jose F. Lopez, Roberto Dðaz, Juan A. Ramos, Jaime J. Maartinez, Teodoro Bastida, Jesus Aguilar, Max Geturino, Angel Sierra, Francisco Romero, Luis A. MuØoz, Jos? Miguel Garcða, Mario Vasquez, Jose A. Hernandez, Rogelio Cornejo, Juan Murillo;Mexico;01/11/2019;1992;R;105 min;Drama, Romance;When Pedro marries her sister, Tita throws herself into her cooking ? and discovers she can transfer her emotions through the food she prepares.;7,1;17434
61;Movie;Kuch Kuch Hota Hai;Karan Johar;Shah Rukh Khan, Kajol, Rani Mukerji, Sana Saeed, Reema Lagoo, Farida Jalal, Archana Puran Singh, Himani Shivpuri, Johnny Lever, Anupam Kher, Parzaan Dastur, Salman Khan, Geeta Kapoor, Farah Khan, Nikkhil Advani, Neelam Kothari, Chettan Motiwalla;India;01/04/2020;1998;TV-14;185 min;Comedy, Drama, Musical, Romance;Per her mother?s last wish, a girl sets out to reunite her father with the college best friend who loved him ? only to discover the woman is engaged.;7,6;50343
62;Movie;Paheli;Amol Palekar;Shah Rukh Khan, Rani Mukerji, Anupam Kher, Naseeruddin Shah, Ratna Pathak Shah, Amitabh Bachchan, Suniel Shetty, Juhi Chawla, Dilip Prabhavalkar, Neena Kulkarni, Padma Rani, Sharvari Jamenis, Rajpal Yadav, Aditi Govitrikar, Palak Jain, Advait Trivedi, Somesh Agarwal, Mohan Bhandari, Rishi Deshpande, Preeti Gupta, A.K. Hangal, Vijay Mishra, Surendra Rajan, Nikhil Ratnaparkhi, Aashif Sheikh, Lekh Tandon, Anita Wahi;India;01/04/2018;2005;TV-PG;134 min;Comedy, Drama, Fantasy, Musical, Romance;Traditional Indian folklore comes alive in this charming film based on a story by Statwart Vijaydan Detha.;6,5;12944
63;Movie;Legally Blonde;Robert Luketic;Reese Witherspoon, Luke Wilson, Selma Blair, Matthew Davis, Victor Garber, Jennifer Coolidge, Holland Taylor, Ali Larter, Jessica Cauffiel, Alanna Ubach, Oz Perkins, Linda Cardellini, Bruce Thomas, Meredith Scott Lynn, Raquel Welch, Samantha Lemole, Kelly Nyks, Ted Kairys, Michael B. Silver, Kimberly McCullough, Shannon OHurley, Greg Serano, Francesca P. Roberts, Lisa Arch, Natalie Barish, Cici Lau, Allyce Beasley, Kevin Cooney, Ted Rooney, David Moreland, Wayne Federman, James Read, Tane McClure, Niklaus Lange, Doug Spinuzza, Lisa K. Wyatt, Jason Christopher, Corinne Reilly, Victoria Mahoney, Lacey Beeman, Melissa Anne Young, Brody Hutzler, Chaney Kley, John Cantwell, Ondrea De Vincentis, Terence Michael, Nectar Rose, Jodi Harris, Patricia Kimes, Sasha Barrese, Kelly Driscoll, Elizabeth Matthews, Kennedy Stone, Moonie, Lily, Gary Ambrosia, Joan Blair, Christopher Bunyan, Ali Chen, Gary Castro Churchwell, Curt Clendenin, Joe Dolan, Melanie H. Gassaway, Amber Goetz, Matt Hall, Carol Hatchett, Mark Heidelberger, Richard Hillman, Seth Adam Jones, John Kapelos, Charles M. Kerper, Joanna Krupa, Dean Mason, Paul McMichael, Beverly Polcyn, Kate Roxburgh, Scott Ryan, Rachel Ryling, Jimmy Star, Dylan White, Jenna Z. Wilson;United States;01/04/2021;2001;PG-13;96 min;Comedy, Romance;When dazzling L.A. sorority girl Elle Woods gets dumped by her snobby boyfriend, she decides to win him back by following him to Harvard Law School.;6,3;198838
64;Movie;Maximum Risk;Ringo Lam;Jean-Claude Van Damme, Natasha Henstridge, Jean-Hugues Anglade, Zach Grenier, Paul Ben-Victor, Frank Senger, Stefanos Miltsakakis, Frank van Keeken, David Hemblen, St?phane Audran, Dan Moran, Donald Burda, Rob Kaman, Herb Lovelle, Denis Costanzo, Marc Estrada, Carlo Rota, Joe Pingue, Hugh Thompson, Gloria Slade, Jackie Richardson, Ed Sahely, Martine Pujol, Albert Schultz, Dan Duran, Raymond Accolas, Kedar Brown, Claire Cellucci, John Bayliss, Henry Gomez, Louise Naubert, Philip Wotton, Jean-Pierre Galleri, Stephan Muller, John Nelles, John Pearson, Kevin Rushton, Sharon Bernbaum, David Christoffel, Branko Racki, Kamel Krifa, Brian Jagersky, Irene Pauzer, Peter Messaline, James Millington, George Kash, David Turner, V?ronique Diehl, Alain Philip, Christine Manning, Jacques Authier, Charles Drummond, Bruno Magne, Danny Lima, Lon Katzman, Edward A. Queffelec, Ron Van Hart, Brian Kaulback, Eugene Allin, Armin Konn, Svetlana Medianik, Andrei Smal, Alexander Kanewsky, Mikhael Ziskine, Andrei Denga, Arkadii Kaplan, David Broitman, Rob Diem, Roman Itkin, Jordan-Patrick Marcantonio, Lawrence Seguin, Jay Zaidi;United States;01/04/2021;1996;R;101 min;Action, Thriller;After discovering hes a twin when a look-alike turns up dead, a French cop assumes his brothers identity to uncover the truth and seek vengeance.;5,5;21404
65;TV Show;Yu-Gi-Oh!;;Dan Green, Wayne Grayson, Amy Birnbaum, Eric Stuart, Gregory Abbey, Tara Sands, Ted Lewis, Marc Thompson, Madeleine Blaustein, Lisa Ortiz, Darren Dunstan, Megan Hollingshead, Christopher Collet, James Carter Cathcart, Sam Riegel, Carrie Keranen, Michael Sinterniklaas, Erica Schroeder, David Wills, Jonathan Todd Ross, Sebastian Arcelus, Richard Will, Andrew Rannells, Kerry Williams, Karen Neil, Tom Souhrada, Robert OGorman, Kayzie Rogers, Mike Pollock, J. David Brimmer, Allyson Johnson, Tony Salerno, Oliver Wyman, Rachael Lillis, Jerry Lobozzo, Veronica Taylor, Loretta Meyers, David Moo, Julian Adler, Scott Anderson, Rona Birnbaum, Matthew J. Nichols, Grainger Stephens, Sean Schemmel, Cameron Thomas, Tom Wayland, Dwayne Tan;Japan;31/03/2021;2005;TV-Y7;1 Season;Animation, Action, Adventure, Family, Fantasy;The lives of young Yugi Moto and his friends Joey, Tristan, and T?a are forever changed when a fantasy card game becomes their reality.;7,3;19975
66;Movie;Now and Then;Lesli Linka Glatter;Christina Ricci, Rosie ODonnell, Thora Birch, Melanie Griffith, Gaby Hoffmann, Demi Moore, Ashleigh Aston Moore, Rita Wilson, Devon Sawa, Walter Sparrow, Cloris Leachman, Lolita Davidovich, Janeane Garofalo, Hank Azaria, Bonnie Hunt, Rumer Willis, Bradley Coryell, Justin Humphrey, Travis Robertson, James Wilson Keane, Ric Reitz, Kellen Crosby, Joey Stinson, James Paul Cleckler, Tucker Stone, Jamison B. Dowd, Beverly Shelton, Geoff McKnight, T.S. Morgan, Carl Espy, Alice Tew, Rand Courtney, Brendan Fraser, Brandon Kleyla, Haviland Stillwell, Kim Tannahill, Dave Thompson;United States;02/08/2019;1995;PG-13;102 min;Comedy, Drama, Romance;Waxing nostalgic about the bittersweet passage from childhood to puberty, four childhood girlfriends recall the magical summer of 1970.;6,8;28332
67;Movie;Croupier;Mike Hodges;Clive Owen, Nick Reding, Nicholas Ball, Alexander Morton, Barnaby Kay, Gina McKee, John Radcliffe, Sheila Whitfield, David Hamilton, Carol Davis, Eddie Osei, Doremy Vernon, Claudine Carter, Ursula Alberts, Neville Phillips, Paul Reynolds, Kate Hardie, Ozzie Yue, Joanna E. Drummond, Manfred Heiden, Alex Kingston, Ciro de Chiara, Rhona Mitra, John A. Baker, Vida Garman, George Khan, Christine Niem?ller, Claudia Barth, Tom Mannion, Arnold Zarom, James Clyde, Emma Lewis, Kate Fenwick, Rosemarie Dunham, Magnus Hastings, John Surman, Mark Long, Michail Golzarandi, Karlheinz Ciba, Sven Morche, Loretta Parnell, Simon Fisher-Turner, Mary Coy, David Gant, Norbert Kleine, Lynsey Pinsent, Ulrich Vogel, Elke Wartmann;Ireland, United Kingdom, France, Germany;26/03/2021;1998;TV-MA;95 min;Crime, Drama;A would-be writer lands a job as a croupier to make ends meet. But when he becomes involved with a gambler, he is lured into taking part in a heist.;7,1;20181
68;Movie;Satte Pe Satta;Raj N. Sippy;Amitabh Bachchan, Hema Malini, Ranjeeta Kaur, Amjad Khan, Shakti Kapoor, Sachin Pilgaonkar, Paintal, Ranjeet, Sudhir, Kanwaljit Singh, Vijayendra Ghatge, Vikram Sahu, Sarika, Goga Kapoor, Mac Mohan, Prema Narayan, Madhu Malhotra, Aradhana Deshpande, Asha Sachdev, Kader Khan, Kalpana Iyer, Manmauji, Bindu, Happy Chang, Ratan Gaurang, Shashi Kiran, Harish Magon, Narendranath Malhotra, Masood, Rajni Sharma, Shobhini Singh;India;31/12/2019;1982;TV-14;153 min;Action, Comedy, Drama, Romance;The eldest of seven brothers who run a family farm together marries a pretty nurse, inspiring his country-bumpkin siblings to follow his example.;7,2;3239
69;Movie;Refugee;J.P. Dutta;Jackie Shroff, Suniel Shetty, Abhishek Bachchan, Kareena Kapoor, Reena Roy, Sudesh Berry, Hemant Choudhary, Avtar Gill, Vrajesh Hirjee, Puneet Issar, Shadaab Khan, Kulbhushan Kharbanda, Anupam Kher, Geetawali Rajkumari, Mukesh Tiwari, Ashish Vidyarthi;India;10/03/2017;2016;TV-PG;24 min;Drama, Musical, Romance;Five acclaimed photographers travel the world to provide detailed insight into the difficult conditions faced by refugees who dream of a better life.;5,4;1933
70;Movie;Koshish;Gulzar;Sanjeev Kumar, Jaya Bachchan, Asrani, Seema Deo, Om Shivpuri, Dina Pathak, Nitin Sethi, Atam Prakash, Urmila Bhatt, Master Chintu, Manjula, Mona Rajput, Nasir, Kamaldeep, Yash, Sheikh, Biren Tripathy, Rajan Verma, Devdas, Navin Pandya, Rajpuri, Ramesh Deo, Dilip Kumar, Moolchand, Keshto Mukherjee;India;31/12/2019;1972;TV-14;115 min;Drama;A speech and hearing-impaired couple persists through unforgiving obstacles to be accepted by society and live a life of dignity.;8,6;1573
71;Movie;Kaleidoscope;Jud Taylor;Jaclyn Smith, Perry King, Patricia Kalember, Claudia Christian, Donald Moffat, Terry OQuinn, Bruce Abbott, Kim Thomson, Colleen Dewhurst, Penny Johnson Jerald, Mary Jo Keenen, Ben Lemon, Erika Flores, Rebecca Herbst, Tasia Schutt, Shea Fowler, Richard Fitzpatrick, Elizabeth Leigh-Milne, Ilse von Glatz, Robert Bidaman, Beth Robinson, Doris Petrie, Madeleine Atkinson, Angelo Celeste, Briar Boake, Terry Doyle, Robert McClure, Jackie Richardson, Robert Godin, Joseph Matheson, Donna Farro, George Hevenor, D.J. Hamilton, Thea McNeil, John Clerkin;United States;08/05/2018;2016;TV-MA;99 min;Drama, Romance;A quiet ex-cons tenuous grip on reality starts to slip when his manipulative mother brings out a part of him he hoped to leave behind.;5,8;403
72;Movie;Awara Paagal Deewana;Vikram Bhatt;Akshay Kumar, Suniel Shetty, Aftab Shivdasani, Paresh Rawal, Preeti Jhangiani, Amrita Arora, Supriya Pilgaonkar, Aarti Chhabria, Johnny Lever, Rahul Dev, Om Puri, Asrani, George Moawad, Penni Tovey;India;16/02/2021;2002;TV-14;162 min;Action, Comedy, Crime, Drama, Thriller;A dentist unwittingly becomes caught in the madcap fight between two criminal brothers-in-law trying to kill one another off to claim their inheritance.;6,2;8000
73;Movie;Alive and Kicking;Cyril Frankel;Sybil Thorndike, Kathleen Harrison, Estelle Winwood, Stanley Holloway, Joyce Carey, Eric Pohlmann, Colin Gordon, John Salew, Liam Redmond, Marjorie Rhodes, Richard Harris, Olive McFarland, Anita Sharp-Bolster, Paul Farrell, Patrick McAlinney, Raymond Manthorpe, Tony Quinn, Harry Hutchinson, Brendan ODowda, Joseph MacNally, Hyma Beckley, Daniel Brown, John Bush, Liz Fraser, Janice Hawley, George Hilsdon, Billy Lawrence, Jim OBrady, Totti Truman Taylor;United Kingdom;10/08/2017;2016;TV-14;89 min;Comedy;Take an inside look at swing dancings continued prosperity and the lively and joyous personalities that make the art form so unique.;6,6;251
74;Movie;Monsoon;Jag Mundhra;Richard Tyson, Helen Brodie, Doug Jeffery, Jenny McShane, Gulshan Grover, Faizal Ahmed, Murad Ali, Victor Bhalla, Ashwani Chopra, Inacio DSouza, Farah, Simon Fernandes, Durga Jasraj, Jimmy, Manuel, Matt McCoy, Ajay Mehta, Rajesh Pednekar, Dilip Raj, Sudhir, Kumar Sunil, Shobha Sutar, Manish Thakkar;United States;13/02/2021;2020;TV-MA;85 min;Drama, Romance;A reflective man must come to terms with his forced displacement from Vietnam when he returns to his birthplace to spread his parents ashes.;4;379
75;TV Show;Heartland;;Ernie Dingo, Cate Blanchett, Bob Maza, Wesley Patten, Bradley Byquar, Paul Caesar, Justine Saunders, Steven Vidler, Leanne Bundy, Luke Carroll, Rachael Maza, Grahame Mundara Rich, David Kennedy, Kevin Smith, Auriel Andrew, Lisa Kinchela, Aaron Pedersen, Billy McPherson, Lillian Crombie, David Ngoombujarra, Tony Barry, Shane Connor, Harold Hopkins, Scott Lowe, Amy Miller-Porter, Nicholas Papademetriou, Steven Albert, Dwayne Buchanan, Zoe Carides, Marjorie Child, Mark Fitzgerald, Mark Fitzpatrick, Trevor Jamieson, Ray Kelly, Josie Lawford, Genevi?ve Lemon, Lydia Miller, Kyle Morrison, Franklyn Nannup, Lynley Narkle, Warren Owens, Jie Pitman, Nicholas Reid, Rhoda Roberts, Andrea Ryan, Kristy Shaw, John Sheerin, Jeremy Sims, Gary Waddell, Kerry Walker;Australia;01/02/2021;2019;TV-14;13 Seasons;Drama;Spunky teenager Amy is reeling from the sudden death of her mother when she and her grandfather are threatened with the loss of their horse ranch.;7,6;120
76;Movie;Kaalia;Tinnu Anand;Amitabh Bachchan, Asha Parekh, Parveen Babi, Amjad Khan, Pran, K.N. Singh, Sajjan, Murad, Sudhir, Hiralal, Brahmachari, Ram P. Sethi, Brahm Bhardwaj, Yunus Parvez, Dev Kumar, Heena Kausar, Bob Christo, Baby Geeta, Kushboo, Ranjit Sood, Ranjit Chowdhry, Ravi Khanna, Anjan Srivastav, Naseem, Rana, Chand, Romeo, Jezebel, Purnima, Manohar, Mushtaq Khan, Pardesi, Kader Khan, Jagdeep, Nikkey, Gajanan Jagirdar, Dev Kishan, Raza Murad, Ramesh Goyal, Khursheed Khan, Narendranath Malhotra, Raj Mata, Mac Mohan, Nandita Thakur, Nikii Waalia;India;31/12/2019;1981;TV-14;173 min;Action, Drama;Jailed for robbing his brother?s unscrupulous employer, a simpleton has a transformation while in prison, emerging with a violent mission for revenge.;6,8;1486
77;Movie;Monty Pythons Life of Brian;Terry Jones;Graham Chapman, John Cleese, Terry Gilliam, Eric Idle, Terry Jones, Michael Palin, Terence Bayler, Carol Cleveland, Kenneth Colley, Neil Innes, Charles McKeown, John Young, Gwen Taylor, Sue Jones-Davies, Peter Brett, John Case, Chris Langham, Andrew MacLachlan, Bernard McKenna, Spike Milligan, Randy Feelgood, George Harrison, Charles Knode, Monty Python;United Kingdom;02/10/2018;1979;R;94 min;Comedy;Born in a stable in Judea, Brian grows up to join a group of anti-Roman zealots, but his fate keeps getting confused with that of a certain carpenter.;8,1;381192
78;Movie;Gangaajal;Prakash Jha;Ajay Devgn, Gracy Singh, Mohan Joshi, Yashpal Sharma, Akhilendra Mishra, Mukesh Tiwari, Ayub Khan, Chetan Pandit, Anup Soni, Mohan Agashe, Yash Gawli, Payal Srivastava, Daya Shankar Pandey, Manyata Dutt, Brij Gopal, Mahesh Gupta, Anita Kanwal, Abhijeet Lahiri, Manoj Rajdutt, Kranti Redkar, Ajai Rohilla, Paritosh Sand, Vishnu Sharma, Padam Singh, Sanjay Swaraj;India;08/01/2021;2003;TV-MA;148 min;Action, Crime, Drama;Posted to a small, crime-ridden town, a cop soon learns that cleaning up the system also means confronting the corruption among police and politicians.;7,8;16536
79;Movie;Hello Brother;Sohail Khan;Salman Khan, Rani Mukerji, Arbaaz Khan, Johnny Lever, Neeraj Vora, Shakti Kapoor, Razak Khan, Sulabha Arya, Dinyar Tirandaz, Mukhtar Khan, Javed Khan, Mahendra Verma, John, Apurva Shah, Amitabh Bachchan, Javed Khan, John Gabriel;India;04/01/2021;1999;TV-14;126 min;Action, Comedy, Fantasy, Romance;After receiving a heart transplant from a murdered man, a cop is followed around by the victim?s ghost, who won?t rest until his death has been avenged.;4,7;4129
80;Movie;Gimme Shelter;Albert Maysles, David Maysles, Charlotte Zwerin;The Rolling Stones, Mick Jagger, Charlie Watts, Keith Richards, Mick Taylor, Bill Wyman, Marty Balin, Sonny Barger, Melvin Belli, Dick Carter, Jack Casady, Mike Clarke, Sam Cutler, Spencer Dryden, Chris Hillman, John Jaymes, Paul Kantner, Jorma Kaukonen, Pete Kleinow, Bernie Leadon, Gram Parsons, Ronald Schneider, Rock Scully, Grace Slick, Frank Terry, Ike Turner, Tina Turner, Stanley Booth, Patty Bredehoft, Bill Fritsch, Jerry Garcia, Meredith Hunter, Ed Lang, Michael Lang, Phil Lesh, Albert Maysles, David Maysles, Alan Passaro, Ken Patterson, Vito Paulekas, Michelle Phillips, Michael Shrieve, Ian Stewart, Bob Weir;United States;01/01/2021;2013;PG-13;101 min;Documentary, Music, Thriller;After running away from her abusive mother, a streetwise teen seeks refuge with her father, but he rejects her when he learns that shes pregnant.;7,8;11423
81;Movie;Monster Island;Jack Perez;Carmen Electra, Daniel Letterle, Mary Elizabeth Winstead, La La Anthony, Nick Carter, Adam West, C. Ernst Harth, Cascy Beddow, Joe MacLeod, Chelan Simmons, Chris Harrison, Alana Husband, Jeff Geddis, Bruce James, Phillip Mitchell, Jacqueline Stewart, Robert Harper, Anthony Moyer, Jana Berengel, Andrea Marino, Troy Coppock, Rory Ames Coppock, Nicholas Treeshin;Canada;01/12/2017;2017;TV-Y7;81 min;Adventure, Comedy, Horror, Sci-Fi;When a teenager discovers hes not really human, he ventures out to a remote island to explore his roots and confronts a series of wild challenges.;3,6;1155
82;TV Show;Shaka Zulu;;Edward Fox, Robert Powell, Trevor Howard, Fiona Fullerton, Christopher Lee, Henry Cele, Dudu Mkhize, Roy Dotrice, Gordon Jackson, Kenneth Griffith, Conrad Magwaza, Patrick Ndlovu, Roland Mqwebu, Gugu Nxumalo, Tu Nokwe, Vuyisile Bojana, Bingo Mbonjeni, Simon Sabela, Sam Williams, Alex Heyns, Graham Armitage, Geoff Albert, Sonke Buthelezi, John Carson, Khumbulani Cele, Dabula Ciliza, Bill Curry, Terence Dlamini, Thembinkosi Dlamini, Glen Gabela, King Beaters Gabelah, Winston Gama, P.W.M. Gardner, Keith Grenville, Zipathe Gumede, Daphney Hlomuka, Eugene Hlomuka, James Irwin, Ian Jali, Kerry Jordan, Benedict Khambula, Charles Kinsman, Sokesimbone Kubheka, Bruno Luthuli, Khulekani Magubane, Victor Majavu, Phillip Majola, Humphrey Makhoba, Obed Makubane, Africa Manqele;Italy, South Africa, West Germany, Australia, United States;10/01/2019;1986;TV-14;1 Season;Action, Biography, Drama, History, War;This miniseries recounts the early 19th-century conflict between the expanding British Empire in Africa and Shaka, the leader of the vast Zulu Nation.;7,7;3002
83;Movie;The Secret;;Joanna Rowden, Adam Ironside, Milton Johns, Malcolm Terris, Daniel Ainsleigh, Rachelle Arthey, Colin Buchanan, Elizabeth Carling, Tom Cotcher, Rod Culbertson, William Finnigan, Tracy Gillman, Vicky Hall, Stephen Hawksby, Lynn Hender, Clare Higgins, Terence Hillyer, Anthony Howard, Nicholas Lumley, Martin McGlade, Stephen Moyer, Andy Mulligan, Ken Richardson, Joy Sanders, Marlene Sidaway, Michael Simkins, June Whitfield, Paula Wright, Hannah Yelland, David Raynor, Leonard Silver;United Kingdom;07/12/2017;2006;TV-14;91 min;Comedy, Drama;An assembly of writers, philosophers and scientists share The Secret, which reputedly brought success to Plato, da Vinci, Einstein and other greats.;6,9;279
84;Movie;Shes the One;Edward Burns;John Mahoney, Edward Burns, Michael McGlone, Maxine Bahns, Jennifer Aniston, Cameron Diaz, Malachy McCourt, Leslie Mann, Amanda Peet, Anita Gillette, Frank Vincent, Beatrice Winde, Eugene Osborne Smith, Robert Weil, Tom Tammi, Raymond De Marco, Ron Farrell, Mark Belasco, Ian Eagle, Anne Marie Stefani;United States;10/12/2020;2013;TV-14;111 min;Comedy, Drama, Romance;When his best friend gets stranded in the rain and becomes the subject of a romantic viral video, a morning show host must confront his true feelings.;6;17077
85;TV Show;Detention;Andy Anderson;John S. Davies, Marsha Dietlein, Meason Wiley, Kirk E. Kelleykahn, Susana Gibb, Brandy Little, Rebecca Sanabria, Jonathan Brent, Forest Denbow, Gail Cronauer, Steven Fromholz, Lee Ritchey, Carolyn Wickwire, Rene Moreno, Jodi Leigh, Charles Rees Davies, Sloan DeForest, Nick Kaba, Karen Stone, Kimberlyn Crowe, Bart Weiss, Allan Saxe, John Painter, Jay Vecchio, Liz Mikel, Jane Willingham, Kurt Kleinman, Alexander Lyle III, Gray Palmer, Robert J. Castaldo, Corky Irick, Lou Michaels, Danny DeLoach, Mark Mahlo, John Jon Perez, Douglas Bruce, Cynthia Dorn, Daniel Alcorn, Janice Lynn Burns, Mark Burns, Joel DeLong, Reese Farmer, Richard Herrera, Bettye Hicks, Don Hicks, Nelda Hoover, Connie OBrien, Harold Pace, Ginger Payne, Lou Rita Riesen, Howard Stone, Kara Sutherlin, Steve Waller, Jason Armour, Mark Dias;United States;05/12/2020;2020;TV-MA;1 Season;Drama;A tormented student uncovers unsettling secrets at her remote high school as betrayal and a paranormal encounter upend her life.;6,5;385
86;Movie;White Christmas;Michael Curtiz;Bing Crosby, Danny Kaye, Rosemary Clooney, Vera-Ellen, Dean Jagger, Mary Wickes, John Brascia, Anne Whitfield, Bea Allen, Leon Alton, Al Bain, Frank Baker, Benjie Bancroft, Mary Bayless, Joan Bayley, Brandon Beach, Paul Bradley, Jimmy Brooks, Mae Bruce, Tony Butala, Boyd Cabeen, Glen Cargyle, Albert Cavens, Evelyn Ceder, Donald Chaffin, George Chakiris, Barrie Chase, Les Clark, Bud Cokes, Lorinne Crawford, Paul Cristo, Robert Crosson, Fred Dale, Marcel De la Brosse, Sayre Dearing, Mike Donovan, Ken DuMain, Luigi Faccuito, Franklyn Farnum, Ernie Flatt, Bess Flowers, Charles Fogel, George Ford, Rudy Germane, Kenneth Gibson, Joe Gilbert, James Gonzalez, Gavin Gordon, Johnny Grant, Marion Gray, Percy Helton, Chuck Hicks, Michael Jeffers, I. Stanford Jolley, Richard Keene, Kenner G. Kemp, Perk Lazelle, King Lockwood, Leota Lorraine, Herb Lurie, Vivian Mason, Peggy McKim, William Meader, Hans Moebus, Leighton Noble, Barry Norton, Roy Palmer, James Parnell, Joe Ploski, Murray Pollack, Edward Rickard, Sig Ruman, Edna Ryan, Cosmo Sardo, Bernard Sell, Richard Shannon, Bert Spencer, Dick Stabile, Norman Stevans, Grady Sutton, Carl Alfalfa Switzer, Hal Taggart, Willard Van Simmons, Herb Vigran;United States;15/11/2020;1954;TV-G;120 min;Comedy, Musical, Romance;Two war buddies fall for two sisters and follow the girls to a resort owned by their former commanding officer, who is in danger of losing the place.;7,6;36505
